;;;;;;;;;;;;;;;;;0;;;1;#DIV/0!;0,0000;0,0000;;;;;;0;0;0;1;0;#DIV/0!;0,0000;0,0000;0,0000;0,0000; -     ;DESCONSIDERADO;;;;;;;
versão 8.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UF;Cidade;Instituição;Unidade de Ensino;Modalidade de Ensino;"Tipo de 
Financiamento";"Tipo de 
Curso";Nome do curso;Área ou Eixo;Curso de Agropecuária;Tipo de Oferta;Ciclo da matrícula;Nome do Ciclo;"DIC 
 Data de início de cliclo";"DTC 
 Data prevista de término do ciclo";"CHC 
 Carga horária do ciclo";"CHMC
 Carga horária do catálogo do MEC";"CHM
Carga horária
p/ Matriz";"PC 
 Peso do curso";Coluna1;"QTDC 
 Quantidade de dias do Ciclo 
 QDTC = DTC - DIC + 1";"CHMD 
 Carga Horária Média Diária 
 CHMD = CHM/QDTC";"CHA 
 Carga Horária Anualizada 
 CHA = SE(QDTC>365;CHMD*365;CHM)";"FECH 
 Fator de Equalização de Carga Horária 
 FECH = SE(QDTC>365;CHA/800;CHC/800)";Coluna2;" CALCULO DAS 
MATRICULAS TOTAIS 
PARA 2023";"DIP1P 
 Dt. Início do período em 
 2023";"DFP1P 
 Dt. Término do período em 
 2023";"QTM1P 
 Qtd. Matrículas em 
 2023";"DACP1 Dias Ativos do Ciclo no Período
1 - começa antes do início do período
e
termina depois do final do período
DACP1=SE(E(DIC<DIP2023;DTC>DFP2023);DFP2023-DIP2023+1;0)";"DACP2 Dias Ativos do Ciclo no Período 
2 - começa dentro do período
e
temina depois do final do período
DACP2=SE(E(DIC>=DIP2023;DTC>DFP2023;DIC<DFP2023);DFP2023-DIC+1;0)";"DACP3 Dias Ativos do Ciclo no Período 3 - começa antes do início do período e termina antes do final do período DACP3=SE(E(DIC<DIP20152;DTC<=DFP20152;DTC>=DIP20152);DTC-DIP20152+1;0)";"DACP4 Dias Ativos do Ciclo no Período 
 4 - começa depois do início do período
e
termina antes  do final do período
DACP4=SE(E(DIC>=DIP2023;DTC<=DFP2023);DTC-DIC+1;0)";"DACP5 Dias Ativos do Ciclo no Período 
 5 - começa antes do início do período
e
termina antes  do início do período
DACP5=SE(E(DIC<DIP2023;DTC<DIP2023);(DFP2023-DIP2023+1)/2;0)";"FEDA
Fator de Equalização de Dias Ativos
FEDA=SOMA(DACP DE 1 A 5)
/(DFP2023-DIP2023+1)*";"FECHDA
Fator de Equalização de Carga Horária e Dias Ativos
FECHDA=FECH*FEDA";"MECHDA
Matrículas Equalizadas por  Carga Horária e Dias Ativos
MECHDA=SE(DACP5=0;FECHDA*QTM2023;SE(DIP2023-DTC>1095;0;FECHDA*(QTM2023/2)))";"MP
Matrículas Ponderadas
MP=MECHDA*PC";"BA
Bônus Agropecuária
BA=SE(Agropecuária=""SIM"";
MP*50%;0)";"MT2023
Matrículas Totais para 2023
MT2023=MP+BA";Situação de acordo com o tipo de financiamento;Coluna3;;;;;;
RS;ALEGRETE;IFFARROUPILHA;CAMPUS ALEGRETE;ENSINO PRESENCIAL;SEM PROGRAMA ASSOCIADO;BACHARELADO;ZOOTECNIA;RECURSOS NATURAIS;SIM;;391503;ZOOTECNIA  22/02/2010 30/12/2014;22/02/2010;30/12/2014;3620;3600;3600;2,5;;1773;2,0305;741,1168;0,9264;;;01/01/2023;31/12/2023;0;0;0;0;0;182,5; 0,5000 ; 0,4632 ; -     ; -     ; -     ; -     ;PRESENCIAL;;;;;ENSINO PRESENCIAL - SEM PROGRAMA ASSOCIADO;PRESENCIAL;
RS;ALEGRETE;IFFARROUPILHA;CAMPUS ALEGRETE;ENSINO PRESENCIAL;SEM PROGRAMA ASSOCIADO;BACHARELADO;ZOOTECNIA;RECURSOS NATURAIS;SIM;;1252618;ZOOTECNIA  22/02/2012 30/12/2016;22/02/2012;30/12/2016;3620;3600;3600;2,5;;1774;2,0293;740,6990;0,9259;;;01/01/2023;31/12/2023;0;0;0;0;0;182,5; 0,5000 ; 0,4629 ; -     ; -     ; -     ; -     ;PRESENCIAL;;;;;ENSINO PRESENCIAL - MEDIOTEC;PRESENCIAL;
RS;ALEGRETE;IFFARROUPILHA;CAMPUS ALEGRETE;ENSINO PRESENCIAL;SEM PROGRAMA ASSOCIADO;BACHARELADO;ZOOTECNIA;RECURSOS NATURAIS;SIM;;1725623;ZOOTECNIA  02/05/2013 30/12/2017;02/05/2013;30/12/2017;3720;3600;3600;2,5;;1704;2,1127;771,1268;0,9639;;;01/01/2023;31/12/2023;0;0;0;0;0;182,5; 0,5000 ; 0,4820 ; -     ; -     ; -     ; -     ;PRESENCIAL;;;;;ENSINO A DISTANCIA - UAB (UNIVERSIDADE ABERTA DO BRASIL);EAD;
RS;ALEGRETE;IFFARROUPILHA;CAMPUS ALEGRETE;ENSINO PRESENCIAL;SEM PROGRAMA ASSOCIADO;LICENCIATURA;QUIMICA;DESENVOLVIMENTO EDUCACIONAL E SOCIAL;NÃO;;1946956;QUIMICA  22/04/2014 22/04/2017;22/04/2014;22/04/2017;3240;3200;3200;2,5;;1097;2,9170;1.064,7220;1,3309;;;01/01/2023;31/12/2023;0;0;0;0;0;182,5; 0,5000 ; 0,6655 ; -     ; -     ; -     ; -     ;PRESENCIAL;;;;;ENSINO A DISTANCIA - OUTROS RECURSOS EXTERNOS;EAD;
RS;ALEGRETE;IFFARROUPILHA;CAMPUS ALEGRETE;ENSINO PRESENCIAL;SEM PROGRAMA ASSOCIADO;LICENCIATURA;MATEMATICA;DESENVOLVIMENTO EDUCACIONAL E SOCIAL;NÃO;;1947018;MATEMATICA  22/04/2014 22/04/2017;22/04/2014;22/04/2017;3320;3200;3200;2,5;;1097;2,9170;1.064,7220;1,3309;;;01/01/2023;31/12/2023;1;0;0;0;0;182,5; 0,5000 ; 0,6655 ; -     ; -     ; -     ; -     ;PRESENCIAL;;;;;ENSINO A DISTANCIA - E-TEC;EAD;
RS;ALEGRETE;IFFARROUPILHA;CAMPUS ALEGRETE;ENSINO PRESENCIAL;SEM PROGRAMA ASSOCIADO;LICENCIATURA;CIENCIAS BIOLOGICAS;DESENVOLVIMENTO EDUCACIONAL E SOCIAL;NÃO;;1947019;CIENCIAS BIOLOGICAS  22/04/2014 22/04/2017;22/04/2014;22/04/2017;3200;3200;3200;2,5;;1097;2,9170;1.064,7220;1,3309;;;01/01/2023;31/12/2023;1;0;0;0;0;182,5; 0,5000 ; 0,6655 ; -     ; -     ; -     ; -     ;PRESENCIAL;;;;;ENSINO A DISTANCIA - APRENDA MAIS;EAD FP;
RS;ALEGRETE;IFFARROUPILHA;CAMPUS ALEGRETE;ENSINO PRESENCIAL;SEM PROGRAMA ASSOCIADO;BACHARELADO;ZOOTECNIA;RECURSOS NATURAIS;SIM;;1947047;ZOOTECNIA  22/04/2014 22/04/2018;22/04/2014;22/04/2018;3720;3600;3600;2,5;;1462;2,4624;898,7688;1,1235;;;01/01/2023;31/12/2023;1;0;0;0;0;182,5; 0,5000 ; 0,5617 ; -     ; -     ; -     ; -     ;PRESENCIAL;;;;;ENSINO A DISTANCIA - OUTROS MOOC;EAD FP;
